customer_id,region,signup_date
CUST0275,South,2025-04-11
CUST0276,Central,2025-04-15
CUST0277,North,2024-10-16
CUST0278,South,2025-02-04
CUST0279,Central,2025-01-02
CUST0280,Central,2024-10-19
CUST0281,West,2024-06-17
CUST0282,South,2025-06-11
CUST0283,North,2025-05-30
CUST0284,West,2025-08-13
CUST0285,Central,2025-03-13
CUST0286,East,2025-08-25
CUST0287,East,2025-04-29
CUST0288,South,2025-03-29
CUST0289,West,2025-06-26
CUST0290,North,2025-03-07
CUST0291,South,2025-08-26
CUST0292,South,2025-08-25
CUST0293,East,2024-09-21
CUST0294,North,2025-06-04
CUST0295,North,2025-08-05
CUST0296,East,2025-04-07
CUST0297,South,2024-11-12
CUST0298,East,2025-07-15
CUST0299,North,2025-02-18
CUST0300,East,2025-08-15
CUST0301,East,2025-08-22
CUST0302,North,2025-04-03
CUST0303,South,2025-03-30
CUST0304,North,2025-02-11
CUST0305,North,2024-12-17
CUST0306,Central,2023-08-19
CUST0307,South,2025-04-09
CUST0308,West,2025-06-15
CUST0309,South,2024-10-19
CUST0310,West,2025-06-30
CUST0311,West,2025-05-09
CUST0312,East,2025-08-16
CUST0313,East,2025-08-27
CUST0314,South,2023-11-14
CUST0315,South,2024-09-05
CUST0316,Central,2025-01-06
CUST0317,West,2025-05-19
CUST0318,Central,2025-07-25
CUST0319,North,2025-07-29
CUST0320,West,2025-07-06
CUST0321,Central,2025-03-26
CUST0322,North,2024-12-25
CUST0323,North,2025-01-29
CUST0324,West,2025-06-28
CUST0325,East,2023-12-22
CUST0326,West,2024-12-08
CUST0327,North,2025-03-24
CUST0328,West,2025-02-24
CUST0329,North,2025-05-16
CUST0330,North,2025-07-07
CUST0331,North,2025-06-05
CUST0332,West,2024-11-22
CUST0333,West,2025-08-30
CUST0334,East,2025-08-08
CUST0335,South,2025-08-23
CUST0336,Central,2025-08-24
CUST0337,South,2024-08-11
CUST0338,West,2025-01-01
CUST0339,South,2025-04-26
CUST0340,South,2025-08-12
CUST0341,East,2025-04-19
CUST0342,South,2025-04-26
CUST0343,West,2025-07-25
CUST0344,East,2025-05-11
CUST0345,North,2025-05-23
CUST0346,Central,2025-02-22
CUST0347,South,2025-02-12
CUST0348,East,2025-08-23
CUST0349,Central,2025-05-31
CUST0350,East,2025-02-17
CUST0351,North,2025-04-15
CUST0352,Central,2024-08-09
CUST0353,East,2025-01-30
CUST0354,South,2025-07-28
CUST0355,North,2025-08-18
CUST0356,West,2025-02-08
CUST0357,East,2025-08-27
CUST0358,East,2025-03-09
CUST0359,Central,2024-02-16
CUST0360,West,2025-03-14
CUST0361,North,2025-05-26
CUST0362,South,2025-02-07
CUST0363,North,2025-05-02
CUST0364,West,2025-03-28
CUST0365,North,2024-02-12
CUST0366,East,2025-05-27
CUST0367,West,2023-11-22
CUST0368,Central,2024-05-18
CUST0369,South,2025-07-20
CUST0370,West,2025-08-18
CUST0371,North,2025-08-11
CUST0372,West,2025-08-29
CUST0373,North,2025-08-13
CUST0374,South,2025-01-15
CUST0375,West,2025-08-18
CUST0376,North,2025-06-17
CUST0377,North,2024-08-25
CUST0378,West,2025-08-28
CUST0379,West,2024-09-30
CUST0380,East,2025-06-27
CUST0381,West,2025-08-07
CUST0382,East,2025-01-06
CUST0383,South,2025-02-15
CUST0384,South,2024-07-09
CUST0385,North,2024-12-10
CUST0386,Central,2024-10-11
CUST0387,East,2025-06-27
CUST0388,South,2025-07-24
CUST0389,East,2024-11-28
CUST0390,Central,2024-10-08
CUST0391,North,2023-02-13
CUST0392,East,2025-05-18
CUST0393,East,2025-05-31
CUST0394,East,2024-11-06
CUST0395,North,2025-06-10
CUST0396,Central,2024-03-16
CUST0397,Central,2024-08-07
CUST0398,East,2025-05-12
CUST0399,West,2024-11-28
CUST0400,Central,2024-11-25
